Intervals,Q_CCGT
218,26.993386378495604
219,26.990536042827348
220,26.988220772819776
221,27.003316861277444
222,27.034580669939295
223,27.105638341110122
224,27.228871524221294
225,27.37870106081648
226,27.53021225007479
227,27.660916608026934
228,27.761370472615184
229,27.83189372636375
230,27.879891390707197
231,27.914537140147598
232,27.943593329855453
233,27.971604252570167
234,28.0
235,28.028074801786126
236,28.054289197810952
237,28.077278754074687
238,28.096386109631872
239,28.108633498015212
240,28.114870005328775
241,28.111590958049906
242,28.097271807389912
243,28.0771055038879
244,28.055917757995754
245,28.037904289809894
246,28.024779959386425
247,28.01645855278708
248,28.01159043674781
249,28.00854818162865
250,28.00599714287284
251,28.003204461824236
252,28.0
253,27.9965851918343
254,27.993291774574242
255,27.99040095994051
256,27.988052879885643
257,27.986610533222077
258,27.985945945865947
259,27.986438971034705
260,27.988239350113478
261,27.990710127713673
262,27.993272875714986
263,27.99543424535232
264,27.997000538277774
265,27.99799165831648
266,27.998574395383653
267,27.99894456480214
268,27.999260120268808
269,27.99960596100517
270,28.0
271,28.000416753695394
272,28.000816279053776
273,28.001165471896325
274,28.001448431138947
275,28.00162194197764
276,28.001701867166663
277,28.00164213281087
278,28.001424343577085
279,28.0011254207015
280,28.000815259414377
281,28.00055355702399
282,28.000363791987606
283,28.000243613619684
284,28.00017288359077
285,28.0001279296193
286,28.0000896386206
287,28.000047723918456
288,28.0
289,27.99994953541301
290,27.99990115458076
291,27.999858860695642
292,27.999824579569626
293,27.966766933992325
294,27.90291900465038
295,27.761783107125886
296,27.518893386141727
297,27.224142766469672
298,26.926211535138084
299,26.669096575174876
300,26.47130041528065
301,26.33222283835909
302,26.237385151254163
303,26.16882901378309
304,26.111343505961422
305,26.05600870124853
306,26.0
307,25.944678315614734
308,25.89304321660139
309,25.84775780604141
310,25.810105217027193
311,25.835510057212115
312,25.918953171358684
313,26.137107282241242
314,26.529687072548178
315,27.011606087028433
316,27.500318624291552
317,27.92154566310202
318,28.244146063896764
319,28.469188336423947
320,28.621053439664326
321,28.729891018146766
322,28.82115224491117
323,28.909664161477167
324,29.0
325,29.089721059897624
326,29.173673221260174
327,29.247306631089458
328,29.308419801519673
329,29.364009973132955
330,29.415712124094433
331,29.475651537692123
332,29.551247969273867
333,29.634157025317037
334,29.715444752232273
335,29.78649200378174
336,29.843502971245115
337,29.886486973328083
338,29.91836650945652
339,29.942923980909946
340,29.963507298804807
341,29.982241577970708
342,30.0
343,30.016747377995635
344,30.032043302111084
345,30.045453017295273
346,30.056780878400218
347,30.09728701175368
348,30.165160348643013
349,30.3046587538209
350,30.539222781444956
351,30.82203239437802
352,31.107307645727317
353,31.353604975677882
354,31.543491770863774
355,31.677548140445005
356,31.76945828296636
357,31.836204934025247
358,31.892190209634336
359,31.945883850465798
360,32.0
361,32.0532943832378
362,32.10296621936447
363,32.14652341757353
364,32.182770036228234
365,32.22257380653418
366,32.266408715987254
367,32.330835022506385
368,32.42516270403246
369,32.53429288039937
370,32.64304803068153
371,32.73740435866037
372,32.81137673125913
373,32.86510972027497
374,32.90328437243627
375,32.93179045817023
376,32.955697592322004
377,32.97807172862677
378,33.0
379,33.02118326979505
380,33.04075147177282
381,33.05790750724137
382,33.07227664219854
383,33.08161353559569
384,33.08650897358768
385,33.08422484210198
386,33.0735388118033
387,33.05835848950213
388,33.04234233932231
389,33.02869050902481
390,33.018726970809844
391,33.01240566695997
392,33.008713537108484
393,33.00641830102745
394,33.004504062834044
395,33.00240929164105
396,33.0
397,32.997426199180865
398,32.99493902320214
399,32.99275288028559
400,32.99097581385321
401,33.00640192246214
402,33.03781774365004
403,33.10876178773545
404,33.231580716901746
405,33.380841681616786
406,33.53176292511787
407,33.66196951009016
408,33.762062430903924
409,33.83235709837012
410,33.880220229491805
411,33.914780472850545
412,33.943763829678204
413,33.971695027100424
414,34.0
415,34.02797881461153
416,34.05410118710651
417,34.07701029770827
418,34.09605244839836
419,34.108259837344995
420,34.11447790469724
421,34.11121260111041
422,34.096943620557575
423,34.076846189435344
424,34.05572991073093
425,34.03777674613157
426,34.02469614339788
427,34.01640242893434
428,34.01155060952993
429,34.00851871059197
430,34.005976492333595
431,34.003193466984555
432,34.0
433,33.99659681882091
434,33.99331454891228
435,33.99043347936154
436,33.98809329817841
437,33.986655796990135
438,33.985993443342586
439,33.98648480355264
440,33.988279105137345
441,33.990741539772145
442,33.99329563053775
443,33.99544969528988
444,33.99701069128167
445,33.99799845686337
446,33.99857921986221
447,33.99894813479669
448,33.99926262179194
449,33.99960729287649
450,33.99999999999999
451,34.000415345250424
452,34.00081352026809
453,34.0011615326375
454,34.00144353505046
455,34.01813476697581
456,34.050133538909584
457,34.12064556784662
458,34.24188656363466
459,34.38898206585321
460,34.53765735565578
461,34.665969870250485
462,34.76469032158903
463,34.83411661750852
464,34.881469254087705
465,34.91570524316291
466,34.94441215416657
467,34.972040321720954
468,35.0
469,35.02761360462815
470,35.053385867203545
471,35.075988983304946
472,35.09478318898395
473,35.12335685434185
474,35.16142401583618
475,35.22878262799489
476,35.33616254477498
477,35.463720467409196
478,35.59186037543796
479,35.702709863107785
480,35.788705118958056
481,35.850062780506946
482,35.89269606754109
483,35.92398435253062
484,35.950220761353314
485,35.97514440629161
486,36.0
487,36.0243049384703
488,36.046885543246155
489,36.06668680158927
490,36.083205030842244
491,36.1268988889854
492,36.196240971299076
493,36.33464897239149
494,36.565231838971485
495,36.84257779466867
496,37.122185824800795
497,37.36370333064719
498,37.55012610019806
499,37.68199032786044
500,37.77261145868325
501,37.838539252346465
502,37.89382653552383
503,37.94675528451254
504,38.0
505,38.05237273366659
506,38.101161016915285
507,38.14394595899953
508,38.17956678384154
509,38.2024684943365
510,38.21420750325588
511,38.208194337186
512,38.18154561784432
513,38.14394346869268
514,38.104400165116004
515,38.07076194058926
516,38.04624442226322
517,38.03069712888019
518,38.021605078307815
519,38.01592979065337
520,38.01117653380585
521,38.00597342545409
522,38.0
523,37.99363097704398
524,37.98748569709925
525,37.98209000194018
526,37.97770658152784
527,37.99153197568917
528,38.02221026544878
529,38.09370186602134
530,38.21851996998295
531,38.37052456122409
532,38.5242916576557
533,38.65689848462359
534,38.75873090872527
535,38.83012639073722
536,38.87863681926713
537,38.913608265308106
538,38.942942129292916
539,38.97125742665836
540,39.0
541,39.028441631099625
542,39.055007689570004
543,39.07830459755837
544,39.097660998221514
545,39.11006109307435
546,39.11636793466063
547,39.11303630135706
548,39.0985254557566
549,39.07809605101755
550,39.05663531506933
551,39.038391509349616
552,39.02510015735358
553,39.016672975501635
554,39.01174260556823
555,39.008660782889976
556,39.006076040816374
557,39.00324646714987
558,39.0
559,38.99654077462961
560,38.99320477445312
561,38.99027673450736
562,38.98789848165527
563,38.98643762570606
564,38.98576450544113
565,38.9862638903256
566,38.98808748506325
567,38.99059013261588
568,38.9931859513064
569,38.995375225805816
570,38.99696175327667
571,38.99796568757585
572,38.99855596575079
573,38.99893092738929
574,38.99925056445026
575,38.99960087325964
576,39.0
577,39.0004221339609
578,39.00082681763967
579,39.001180519918464
580,39.00146713428286
581,38.98512457927437
582,38.95328642076663
583,38.88265435436291
584,38.760975704009525
585,38.613279506046176
586,38.46398093631923
587,38.335142521562496
588,38.23604073069524
589,38.166372932142785
590,38.118878161155685
591,38.08455183560069
592,38.05576797760548
593,38.02805558108888
594,37.99999999999999
595,37.97228498506695
596,37.946415499544784
597,37.92372739241837
598,37.904864297630155
599,37.90928498886086
600,37.935036580190285
601,38.008835611515806
602,38.144424797190496
603,38.31172646724832
604,38.48163086915683
605,38.627991756476604
606,38.739861848404516
607,38.81762557948694
608,38.86985576480213
609,38.90714000328634
610,38.938403058469234
611,38.968829495927324
612,39.0
613,39.031035142657544
614,39.060107274735
615,39.08560684605773
616,39.10675370376536
617,39.12025421237078
618,39.12706813679764
619,39.123361198479614
620,39.1074791696213
621,39.085168071165725
622,39.061755817873184
623,39.04186637563196
624,39.02738269788944
625,39.01820122984958
626,39.01282750972001
627,39.0094641080942
628,39.00663927043165
629,39.0035464570527
630,39.0
631,38.996223470944884
632,38.99258328893289
633,38.98938940416985
634,38.98679574945489
635,39.00172113327074
636,39.03290631036739
637,39.104022751652124
638,39.22747020428896
639,39.377593832031565
640,39.52941016884316
641,39.660371998649374
642,39.761012560618596
643,39.83165405004155
644,39.87972130115579
645,39.914411278048135
646,39.94350513996213
647,39.971557299989065
648,40.0
649,40.02812445068909
650,40.05438644551255
651,40.07741761200455
652,40.096558694551355
653,40.10882677250091
654,40.11507281780812
655,40.111786661646214
656,40.09744156068673
657,40.077239633215555
658,40.05601492120768
659,40.03797026123945
660,40.0248233128521
661,40.01648758261442
662,40.01161103721189
663,40.00856342540283
664,40.006007824281404
665,40.00321014886109
666,40.0
667,39.99657917782219
668,39.993279994639835
669,39.99038413940188
670,39.98803197368834
671,40.003105428764584
672,40.0343588033553
673,40.10542425132336
674,40.22868582278347
675,40.3785543302152
676,40.53010595852967
677,40.66084443869511
678,40.76132304616737
679,40.831861969229514
680,40.87986885485406
681,40.91452046423343
682,40.94358164493513
683,40.971598031239374
684,41.0
685,41.02808138081051
686,41.05430208446083
687,41.07729715488785
688,41.09640897994588
689,41.15821403421885
690,41.260209157423084
691,41.4686438528602
692,41.81869540977425
693,42.24070462888477
694,42.66646519155832
695,43.034167586291076
696,43.31776898283668
697,43.5180838819824
698,43.65548403137082
699,43.75528343966597
700,43.838967014043114
701,43.91918349286872
702,44.0
703,44.07957609068719
704,44.153743348850796
705,44.218787667226195
706,44.27292415845586
707,44.30771042679772
708,44.32551880460889
709,44.31635149178981
710,44.275839028870806
711,44.21869564230933
712,44.15861316134694
713,44.10750870719757
714,44.07026367103643
715,44.046646272580574
716,44.03283400696797
717,44.024210465221685
718,44.01698623774098
719,44.009078093960085
720,44.0
721,43.9903216933784
722,43.98098416360118
723,43.972786093126295
724,43.96612627678294
725,43.978553298347954
726,44.00858727297358
727,44.08055678929984
