,Q_ccgt
143,31.0
144,30.932097705256265
145,30.86832302957975
146,30.812378254111636
147,30.766065860751723
148,30.73659555175266
149,30.721830159917907
150,30.730087389652528
151,30.764930996722253
152,30.81377913485735
153,30.864986485516432
154,30.90846140454895
155,30.940106862639272
156,30.960164191046683
157,30.971907694683708
158,30.979267182157173
159,30.985456293521853
160,30.99223326064084
161,30.999999999999996
162,31.008265741953146
163,31.016229313091657
164,31.02321419268538
165,31.02888532815621
166,31.032367845684085
167,31.033972332699918
168,31.032780372944337
169,31.028429124296387
170,31.02245755162373
171,31.016263341035838
172,31.011038875454442
173,31.00725243859104
174,31.00485611524863
175,31.00344693261276
176,31.002551694188497
177,31.001788638201177
178,31.00095252490827
179,31.0
180,30.998992604693832
181,30.99802684822979
182,30.997182731838812
183,30.99649869249425
184,31.01259735459802
185,31.04432369653089
186,31.11504022155324
187,31.23702514279615
188,31.385141259763422
189,31.53487527077849
190,31.66408091959004
191,31.76344888838011
192,31.833285197338764
193,31.88087913090768
194,31.915268510165955
195,31.944106124828537
196,31.971877391998007
197,32.0
198,32.027785875260804
199,32.05372327809178
200,32.07647074388129
201,32.09538194265327
202,32.10750909273203
203,32.11369012787937
204,32.11045240171925
205,32.09628416774136
206,32.07632507514846
207,32.055352374437696
208,32.03752038293263
209,32.024527663575086
210,32.016289617333065
211,32.01147056532121
212,32.008459489562746
213,32.00593500063006
214,32.00317137703988
215,32.0
216,31.99662017900343
217,31.993360307021362
218,31.990498819540186
219,31.988174512035215
220,32.03630118082219
221,32.13140210910026
222,32.34360660301523
223,32.70976406550031
224,33.15439025248231
225,33.60387961272219
226,33.991738000752655
227,34.29001602296971
228,34.49963440643478
229,34.64248005595476
230,34.74568858146386
231,34.8322360830358
232,34.915588241765036
233,35.0
234,35.083404164692986
235,35.16126096772414
236,35.22954228079397
237,35.28630734230825
238,35.28967173653669
239,35.24438445768808
240,35.09352024420834
241,34.80807434830107
242,34.45337677568235
243,34.09245571147708
244,33.7817846162532
245,33.544966896605345
246,33.381147810100636
247,33.271836874499755
248,33.19423721446352
249,33.1291693689875
250,33.0655339332919
251,33.0
252,32.93452715057703
253,32.8731012538557
254,32.81922163469623
255,32.774588241448875
256,32.746149975678414
257,32.73186013842148
258,32.73976554544638
259,32.773323718871744
260,32.820407886000126
261,32.86978588159079
262,32.91171824661106
263,32.94224612835465
264,32.961596509118024
265,32.97292452102045
266,32.98002013247783
267,32.98598422531515
268,32.99251445707985
269,33.0
270,33.00796831255739
271,33.01564675658541
272,33.02238244933578
273,33.02785168518569
274,33.031210417004516
275,33.03275790333693
276,33.0316085935581
277,33.027412766115795
278,33.02165449813894
279,33.015681604524566
280,33.01064387477368
281,33.006992842610444
282,33.00468227192805
283,33.003323560030594
284,33.00246040126964
285,33.001724671134085
286,33.000918469145844
287,33.00000000000001
288,32.99902861524398
289,32.998097381802744
290,32.99728344469408
291,32.996623866979014
292,32.963183100042954
293,32.899157578656975
294,32.7581524826064
295,32.515743218431766
296,32.22165298244421
297,31.924407512177115
298,31.667871528119544
299,31.470495414178416
300,31.331683969563837
301,31.237002932268386
302,31.16854629333867
303,31.111145437077795
304,31.05590324410188
305,30.999999999999996
306,30.944789863384244
307,30.89326174205636
308,30.8480698781794
309,30.81049313088398
310,30.90201653791363
311,31.113161091587447
312,31.613589849673094
313,32.491946490536534
314,33.56335974493321
315,34.64792546907191
316,35.5833732916736
317,36.30155857670226
318,36.804750862194226
319,37.14628823844804
320,37.39223635202847
321,37.598467477836365
322,37.79764797012538
323,38.0
324,38.20036302244869
325,38.38758390239399
326,38.55178673654133
327,38.688203887085955
328,38.726020923299785
329,38.67467263123397
330,38.43944457383104
331,37.97279661317441
332,37.386655261517696
333,36.788488727649266
334,36.27423102910404
335,35.883862603147655
336,35.61585587534908
337,35.43885248778982
338,35.31429689859034
339,35.209848131475695
340,35.106898595135746
341,34.99999999999999
342,34.89263331910919
343,34.79166621073676
344,34.703099990038154
345,34.629858573916415
346,34.616373391601726
347,34.656997482823854
348,34.811321454845654
349,35.10940077305787
350,35.481435898499655
351,35.8603398281324
352,36.186177287987306
353,36.433985707837124
354,36.6047595062721
355,36.71815953547861
356,36.79835670636971
357,36.86563883787799
358,36.93170106897076
359,37.0
360,37.0683972305425
361,37.132626612045904
362,37.188956528955806
363,37.235575456456345
364,37.28174940195322
365,37.32851966264432
366,37.39076724222549
367,37.477139281084234
368,37.57535106420248
369,37.6727808813417
370,37.757585149401734
371,37.82463491101586
372,37.873987026967235
373,37.90958565501674
374,37.93645531212908
375,37.95896758411856
376,37.979813181084864
377,38.0
378,38.01934145906657
379,38.03714397281576
380,38.052756727544946
381,38.065875268032556
382,38.0744452849523
383,38.07898737173749
384,38.07696712759663
385,38.06724357081613
386,38.05338435968167
387,38.03873903549899
388,38.02624388362734
389,38.01711908831621
390,38.011328967133224
391,38.007949459101056
392,38.005852909374546
393,38.00410790095758
394,38.00219837250513
395,38.0
396,37.99764923458819
397,37.995375887776575
398,37.99337667371865
399,37.991751122867775
400,38.00727001264332
401,38.03872916670679
402,38.10964187806796
403,38.232344641226966
404,38.381445662142866
405,38.532200658719894
406,38.66226678515226
407,38.76225774409148
408,38.832487780904486
409,38.88031286677262
410,38.9148489648785
411,38.94381180718712
412,38.97172057363835
413,39.0
414,39.0279517820336
415,39.05404821903195
416,39.07693464241197
417,39.09595839492483
418,39.10815452213822
419,39.1143672916575
420,39.11110574831413
421,39.09685083805904
422,39.07677281158371
423,39.05567671978385
424,39.03774062145841
425,39.0246724136597
426,39.01638655879185
427,39.01153936582472
428,39.00851040056857
429,39.005970671811546
430,39.00319036739878
431,39.0
432,38.99660010001773
433,38.993320979344574
434,38.990442665474546
435,38.98810471950669
436,38.98666858688492
