intervals,P_FC,g_CCGT,P_GRID,P_c,u_c,P_d,u_d,P_wcur,P_cur,Q_GB,Q_HP,Q_cur,SOC
52,2.429630101018347,3.3060000000000134,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,3.001555235882492,5.0,0.0,1.5
53,2.181249951581023,3.306000000000011,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,3.001555232785549,5.0,1.4210854715202004e-14,1.5
54,1.8088420468544228,3.306000000000011,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0015552325736223,5.0,0.0,1.5
55,1.766965384848426,3.306000000000012,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.001555232559113,5.0,7.105427357601002e-15,1.5
56,3.1076193428177845,3.2269745173401034,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
57,1.8500666312371479,3.2415286562766323,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,1.5
58,2.712465260659151,3.2397931270083435,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.5
59,7.0,3.042241766645284,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.498614029148449,-7.105427357601002e-15,1.5
60,7.0,3.063663124278579,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.6878148455485658,0.0,1.5
61,7.0,3.086289176750508,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,2.381957252061902,-7.105427357601002e-15,1.5
62,7.0,2.795665053693801,-1.9576867824394952,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.1316282072803006e-14,1.5
63,7.0,2.8489123550681406,-3.6355737818513916,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5
64,7.0,2.8425617980703795,-3.1819662315767374,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.4210854715202004e-14,1.5
65,7.0,2.685034467994334,1.173817218539071,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,0.0,-2.1316282072803006e-14,1.5
66,7.0,2.4766490948489466,6.0,0.3495609567713842,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,-7.105427357601002e-15,1.5786512152735614
