,Q_CCGT
839,49.99892525
840,49.99892525
841,49.99892526
842,49.99892526
843,49.99892527
844,49.99892527
845,49.99892527
846,49.99892528
847,49.99892528
848,49.99892528
849,49.99892528
850,49.99892528
851,49.99892528
852,49.99892528
853,49.99892529
854,49.99892529
855,49.99892529
856,49.99892529
857,49.99892529
858,49.99892529
859,49.99892529
860,49.99892529
861,49.99892529
862,49.99892529
863,49.99892529
864,49.99892529
865,49.99892529
866,49.99892529
867,49.99892529
868,49.99892529
869,49.99892529
870,49.99892529
871,49.99892529
872,49.99892529
873,49.99892529
874,49.99892529
875,49.99892529
876,49.99892529
877,49.99892529
878,49.99892529
879,49.99892529
880,49.99892529
881,49.99892529
882,49.99892529
883,49.99892529
884,49.99892529
885,49.99892529
886,49.99892529
887,49.99892529
888,49.99892529
889,49.99892529
890,49.99892529
891,49.99892529
892,49.99892529
893,49.99892529
894,49.99892529
895,49.99892529
896,49.99892529
897,49.99892529
898,49.99892529
899,49.99892529
900,49.99892529
901,49.99892529
902,49.99892529
903,49.99892529
904,49.99892529
905,49.99892529
906,49.99892529
907,49.99892529
908,49.99892529
909,49.99892529
910,49.99892529
911,49.99892529
912,49.99892529
913,49.99892529
914,49.99892529
915,49.99892529
916,49.99892529
917,49.99892529
918,49.99892529
919,49.99892529
920,49.99892529
921,49.99892529
922,49.99892529
923,49.99892529
924,49.99892529
925,49.99892529
926,49.99892529
927,49.99892529
928,49.99892529
929,49.99892529
930,49.99892529
931,49.99892529
932,49.99892529
933,49.99892529
934,49.99892529
935,49.99892529
936,49.99892529
937,49.99892529
938,49.99892529
939,49.99892529
940,49.99892529
941,49.99892529
942,49.99892529
943,49.99892529
944,49.99892529
945,49.99892529
946,49.99892529
947,49.99892529
948,49.99892529
949,49.99892529
950,49.99892529
951,49.99892529
952,49.99892529
953,49.99892529
954,49.99892529
955,49.99892529
956,49.99892529
957,49.99892529
958,49.99892529
959,49.99892529
960,49.99892529
961,49.99892529
962,49.99892529
963,49.99892529
964,49.99892529
965,49.99892529
966,49.99892529
967,49.99892529
968,49.99892529
969,49.99892529
970,49.99892529
971,49.99892529
972,49.99892529
973,49.99892529
974,49.99892529
975,49.99892529
976,49.99892529
977,49.99892529
978,49.99892529
979,49.99892529
980,49.99892529
981,49.99892529
982,49.99892529
983,49.99892529
984,49.99892529
985,49.99892529
986,49.99892529
987,49.99892529
988,49.99892529
989,49.99892529
990,49.99892529
991,49.99892529
992,49.99892529
993,49.99892529
994,49.99892529
995,49.99892529
996,49.99892529
997,49.99892529
998,49.99892529
999,49.99892529
1000,49.99892529
1001,49.99892529
1002,49.99892529
1003,49.99892529
1004,49.99892529
1005,49.99892529
1006,49.99892529
1007,49.99892529
1008,49.99892529
1009,49.99892529
1010,49.99892529
1011,49.99892529
1012,49.99666761
1013,49.99230488
1014,49.98265916
1015,49.96605837
1016,49.9459128
1017,49.92554982
1018,49.90797661
1019,49.89445782
1020,49.88495239
1021,49.87847068
1022,49.87378523
1023,49.86985639
1024,49.8660745
1025,49.8622465
1026,49.85846543
1027,49.85493633
1028,49.8518412
1029,49.84926777
1030,49.84945908
1031,49.85217671
1032,49.86048612
1033,49.87595733
1034,49.89510871
1035,49.91457555
1036,49.93133908
1037,49.94413635
1038,49.95301233
1039,49.95895613
1040,49.96318841
1041,49.96673719
1042,49.97019863
1043,49.97375317
1044,49.97729781
1045,49.98062058
1046,49.98353508
1047,49.98595088
1048,49.97140718
1049,49.94110151
1050,49.87195616
1051,49.75187034
1052,49.60579681
1053,49.45804928
1054,49.33057993
1055,49.2326132
1056,49.16384459
1057,49.1170528
1058,49.08328771
1059,49.05497437
1060,49.02767729
1061,49
1062,48.97263084
1063,48.94707237
1064,48.92465678
1065,48.90602646
