intervals,P_FC,g_CCGT,P_GRID,P_c,u_c,P_d,u_d,P_wcur,P_cur,Q_GB,Q_HP,Q_cur,Q_CCGT,SOC
52,5.429630101018553,3.3060000000000005,-6.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0000559999999865,5.0,0.0,49.99994400000001,14.325
53,6.239111892866575,3.2398836286696637,-6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,49.0,15.0
54,1.8088420468546005,3.3059999999999996,-6.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0000560000000007,5.0,0.0,49.999944,15.0
55,1.7669653848486249,3.3059999999999996,-6.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0000560000000007,5.0,0.0,49.999944,15.0
56,2.9010735615448127,3.2398836286696637,-6.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,49.0,15.0
57,1.8763870729486456,3.2398836286696637,-6.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,49.0,15.0
58,2.711017234078028,3.2398836286696637,-6.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,49.0,15.0
59,7.0,3.0249161329749783,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2511684048864256,-4.440892098500626e-15,45.74883159511358,15.0
60,7.0,3.0634030818432247,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.669091790203062,0.0,46.33090820979694,15.0
61,7.0,3.0856120411594357,-6.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,2.333203489504688,2.220446049250313e-15,46.66679651049531,15.0
62,7.0,2.843163184342766,-2.7176568728229356,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,15.0
63,7.0,2.843163184342766,-3.5435870502453994,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,15.0
64,7.0,2.843163184342766,-3.191588411934923,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,43.0,15.0
65,7.0,2.5125628140703515,3.7904706825463492,0.0,0.0,0.1428929987764384,1.0,0.0,0.0,1.0,0.0,0.0,38.0,14.960307500339878
66,7.0,2.7109230362338,-1.0979440189290415,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,41.0,14.126974167006544
67,7.0,2.4464427400158684,2.381039900563607,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,37.0,13.29364083367321
68,7.0,2.4464427400158684,5.685235567661046,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,13.29364083367321
69,7.0,2.2480825178524197,6.0,0.0,0.0,3.0,1.0,0.0,1.8572558672188748,1.0,0.0,0.0,34.0,12.460307500339876
70,7.0,2.3142025919069025,6.0,0.0,0.0,3.0,1.0,0.0,0.6342824333568586,1.0,0.0,0.0,35.0,11.626974167006543
71,7.0,2.2480825178524197,6.0,0.0,0.0,3.0,1.0,0.0,2.0151340204554415,1.0,0.0,0.0,34.0,10.793640833673209
72,7.0,2.4464427400158684,6.0,0.0,0.0,3.0,1.0,0.0,1.951677372620722,1.0,0.0,0.0,37.0,9.960307500339875
73,7.0,2.4464427400158684,6.0,0.0,0.0,3.0,1.0,0.0,3.23704817041866,1.0,0.0,0.0,37.0,9.12697416700654
74,7.0,2.843163184342766,3.4728072422341043,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,43.0,8.293640833673207
75,7.0,2.7770431102882833,6.0,0.0,0.0,3.0,1.0,0.0,0.3068173664774747,1.0,0.0,0.0,42.0,7.460307500339873
76,7.0,2.909283258397249,4.173462038871953,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,44.0,6.62697416700654
77,7.0,3.306,-2.175794598574191,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0000559999999936,0.0,49.999944000000006,5.793640833673207
78,7.0,3.306,-3.6166690973140714,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0000559999999936,0.0,49.999944000000006,4.960307500339874
79,7.0,3.306,-4.404450863020819,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0000559999999936,0.0,49.999944000000006,4.126974167006541
80,7.0,3.306,-5.027999837140682,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0000559999999936,0.0,49.999944000000006,3.2936408336732077
81,7.0,3.306,-6.0,0.0,0.0,2.260132309665688,1.0,0.0,0.0,1.0000560000000007,4.999999999999993,0.0,49.999944000000006,2.6658263032105167
82,7.0,3.306,-6.0,0.0,0.0,1.344762961889144,1.0,0.0,0.0,6.0000559999999865,5.000000000000007,0.0,49.999944000000006,2.2922810360190877
83,7.0,3.306,-6.0,0.0,0.0,0.9201383787293196,1.0,0.0,0.0,6.000055999999994,5.0,0.0,49.999944000000006,2.03668704192761
